atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;4;Procesos industriales sin combustión;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;5;Extracción y distribución de combustibles fósiles y energía geotérmica;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;6;Uso de disolventes y otros productos;PFC;t CO2eq;3278,61
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;7;Transporte por carretera;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;8;Otros modos de transporte y maquinaria móvil;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;9;Tratamiento y eliminación de residuos;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;10;Agricultura;PFC;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;11;Otras fuentes y sumideros (naturaleza);PFC;t CO2eq;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;As;kg;0,19
2021;Metales pesados;2;Plantas de combustión no industrial;As;kg;25,46
2021;Metales pesados;3;Plantas de combustión industrial;As;kg;9,21
2021;Metales pesados;4;Procesos industriales sin combustión;As;kg;2,53
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;As;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;As;kg;0
2021;Metales pesados;7;Transporte por carretera;As;kg;12,71
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;As;kg;0,13
2021;Metales pesados;9;Tratamiento y eliminación de residuos;As;kg;5,16
2021;Metales pesados;10;Agricultura;As;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);As;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Cd;kg;1,26
2021;Metales pesados;2;Plantas de combustión no industrial;Cd;kg;25,19
2021;Metales pesados;3;Plantas de combustión industrial;Cd;kg;60,11
2021;Metales pesados;4;Procesos industriales sin combustión;Cd;kg;37,55
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Cd;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Cd;kg;44,96
2021;Metales pesados;7;Transporte por carretera;Cd;kg;37,62
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Cd;kg;0,61
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Cd;kg;8,52
2021;Metales pesados;10;Agricultura;Cd;kg;0
2021;Metales pesados;11;Otras fuentes y sumideros (naturaleza);Cd;kg;0
2021;Metales pesados;1;Combustión en la producción y transformación de energía;Cr;kg;2,25
2021;Metales pesados;2;Plantas de combustión no industrial;Cr;kg;335,9
2021;Metales pesados;3;Plantas de combustión industrial;Cr;kg;138,2
2021;Metales pesados;4;Procesos industriales sin combustión;Cr;kg;32,86
2021;Metales pesados;5;Extracción y distribución de combustibles fósiles y energía geotérmica;Cr;kg;0
2021;Metales pesados;6;Uso de disolventes y otros productos;Cr;kg;0
2021;Metales pesados;7;Transporte por carretera;Cr;kg;545,77
2021;Metales pesados;8;Otros modos de transporte y maquinaria móvil;Cr;kg;17,57
2021;Metales pesados;9;Tratamiento y eliminación de residuos;Cr;kg;22,04
2021;Metales pesados;10;Agricultura;Cr;kg;0
